benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
mass_spring_ad_pure,16384,18854,4218,23072,0,0,0,4218,2194,6412,30045,99761,129806,898.7,140.8,316.2,14220,11.0
mass_spring_ad_total,16384,18854,4218,23072,40383,5749,46132,4218,7943,12161,30045,99761,129806,898.7,509.7,599.7,14220,11.0
mass_spring_orig_pure,16384,18663,18629,37292,42420,17932,60352,18629,17932,36561,49426,123500,172926,2412.4,929.4,1353.2,0,0.0
mass_spring_orig_total,16384,18663,18629,37292,42420,17932,60352,18629,17932,36561,49426,123500,172926,2412.4,929.4,1353.2,0,0.0
mass_spring_ad_pure,16384,25032,5496,30528,0,0,0,5496,2898,8394,36973,129821,166794,951.5,142.9,322.1,18832,11.3
mass_spring_ad_total,16384,25032,5496,30528,53283,7757,61040,5496,10655,16151,36973,129821,166794,951.5,525.3,619.8,18832,11.3
mass_spring_orig_pure,16384,26397,22963,49360,56358,23514,79872,22963,23514,46477,62410,160720,223130,2355.0,936.4,1333.2,0,0.0
mass_spring_orig_total,16384,26397,22963,49360,56358,23514,79872,22963,23514,46477,62410,160720,223130,2355.0,936.4,1333.2,0,0.0
mass_spring_ad_pure,16384,49498,10854,60352,0,0,0,10854,5716,16570,61297,251097,312394,1133.4,145.7,339.5,37280,11.9
mass_spring_ad_total,16384,49498,10854,60352,105115,15557,120672,10854,21273,32127,61297,251097,312394,1133.4,542.3,658.2,37280,11.9
mass_spring_orig_pure,16384,49069,48563,97632,108632,49320,157952,48563,49320,97883,116092,316114,432206,2677.4,998.6,1449.5,0,0.0
mass_spring_orig_total,16384,49069,48563,97632,108632,49320,157952,48563,49320,97883,116092,316114,432206,2677.4,998.6,1449.5,0,0.0
