benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
pathfinder_ad_pure,16384,1670,241,1911,0,0,0,241,288,529,3969,10505,14474,389.4,175.8,234.4,1533,10.6
pathfinder_ad_total,16384,1670,241,1911,3576,246,3822,241,534,775,3969,10505,14474,389.4,326.0,343.3,1533,10.6
pathfinder_orig_pure,16384,2517,927,3444,4713,642,5355,927,396,1323,6012,12424,18436,988.0,204.2,459.8,0,0.0
pathfinder_orig_total,16384,2517,927,3444,4713,642,5355,927,642,1569,6012,12424,18436,988.0,331.1,545.3,0,0.0
pathfinder_ad_pure,16384,3943,516,4459,0,0,0,516,672,1188,6119,13885,20004,540.4,310.2,380.6,3577,17.9
pathfinder_ad_total,16384,3943,516,4459,8355,563,8918,516,1235,1751,6119,13885,20004,540.4,570.0,561.0,3577,17.9
pathfinder_orig_pure,16384,3701,4335,8036,7978,4517,12495,4335,3954,8289,15292,23836,39128,1815.4,1062.3,1356.7,0,0.0
pathfinder_orig_total,16384,3701,4335,8036,7978,4517,12495,4335,4517,8852,15292,23836,39128,1815.4,1213.6,1448.8,0,0.0
pathfinder_ad_pure,16384,8411,1144,9555,0,0,0,1144,1439,2583,10018,20654,30672,731.3,446.2,539.3,7665,25.0
pathfinder_ad_total,16384,8411,1144,9555,17926,1184,19110,1144,2623,3767,10018,20654,30672,731.3,813.3,786.5,7665,25.0
pathfinder_orig_pure,16384,7727,9493,17220,16558,10217,26775,9493,9033,18526,29889,43063,72952,2033.3,1342.9,1625.8,0,0.0
pathfinder_orig_total,16384,7727,9493,17220,16558,10217,26775,9493,10217,19710,29889,43063,72952,2033.3,1518.9,1729.7,0,0.0
pathfinder_ad_pure,16384,12891,1760,14651,0,0,0,1760,2206,3966,14273,27529,41802,789.7,513.2,607.6,11753,28.1
pathfinder_ad_total,16384,12891,1760,14651,27486,1816,29302,1760,4022,5782,14273,27529,41802,789.7,935.6,885.8,11753,28.1
pathfinder_orig_pure,16384,11953,14451,26404,25538,15517,41055,14451,13701,28152,44989,61451,106440,2056.2,1427.3,1693.1,0,0.0
pathfinder_orig_total,16384,11953,14451,26404,25538,15517,41055,14451,15517,29968,44989,61451,106440,2056.2,1616.4,1802.3,0,0.0
pathfinder_ad_pure,16384,17368,2379,19747,0,0,0,2379,2973,5352,18714,34316,53030,813.9,554.7,646.2,15841,29.9
pathfinder_ad_total,16384,17368,2379,19747,37046,2448,39494,2379,5421,7800,18714,34316,53030,813.9,1011.4,941.7,15841,29.9
pathfinder_orig_pure,16384,16509,19079,35588,35232,20103,55335,19079,17655,36734,60575,79577,140152,2016.2,1420.2,1677.8,0,0.0
pathfinder_orig_total,16384,16509,19079,35588,35232,20103,55335,19079,20103,39182,60575,79577,140152,2016.2,1617.1,1789.6,0,0.0
pathfinder_ad_pure,16384,25289,3376,28665,0,0,0,3376,4315,7691,26295,46209,72504,822.0,597.9,679.2,22995,31.7
pathfinder_ad_total,16384,25289,3376,28665,53789,3541,57330,3376,7856,11232,26295,46209,72504,822.0,1088.5,991.8,22995,31.7
pathfinder_orig_pure,16384,23143,28517,51660,49450,30875,80325,28517,27334,55851,86983,112879,199862,2098.4,1549.9,1788.6,0,0.0
pathfinder_orig_total,16384,23143,28517,51660,49450,30875,80325,28517,30875,59392,86983,112879,199862,2098.4,1750.7,1902.0,0,0.0
